Row ID,Words
1,data
2,digital
3,technolog
4,strategy
5,blockchain
6,algorithm
7,bitcoin
8,cryptograph
9,digital identity
10,identity system
11,smart contract
12,payment solution
13,digital banking
14,identity transaction
15,global payment
16,ledger technology
17,digitally sign
18,crypto
19,micropayment
20,internet of things
21,contract technology
22,Public Key
23,Scalability
24,Wallet
25,block chain
26,platform
27,information
28,risk
29,innovat
30,solution
31,security
32,regulation
33,regulatory
34,encryption
35,delineation
36,fraud
37,micropayments
38,hacking
39,cyberattack
40,cyberinsecurity
41,protocol
42,sandbox
43,credentials
44,hack
45,programming
46,model
47,cloud
48,statistic
49,artificial Intelligence
50,applications
51,data source
52,automate
53,machine learning
54,quantopian
55,robo advisor
56,cognitive
57,optimisation
58,amazon web service
59,machine based
60,insurtech
61,predictive
62,prediction
63,data collection
64,supervised learning
65,natural language
66,Regression
67,Clustering
68,Random Forest
69,Time Series
70,data analy
71,Linear Regression
72,python
73,spend analytics
74,deep learn
75,sas
76,spss
77,Tensorflow
78,ML technique
79,docker
80,kubernetes
81,IaaS
82,data driven
83,ML models
84,nlp
85,fintech
86,compliance
87,audit
88,asset
89,risk associated
90,infrastructure
91,transaction
92,digitization
93,ledger
94,credit
95,claims processing
96,rehypothecation
97,adviser
98,payment scheme
99,Agent 
100,Hard market
101,Insurance policy
102,Reinsurer
103,Risk assessment
104,Risk retention
105,verification
106,Security Service
107,investigat
108,platforms
109,development
110,innovation
111,api
112,large-scale
113,centralized
114,visualization
115,decentralised
116,Batch Processing
117,Business Intelligence
118,Cassandra
119,Cluster computing
120,Dark Data
121,Data Lake
122,Data Mining
123,Exploratory Analysis
124,Feature Engineering
125,Hadoop
126,Hive
127,Kafka
128,Salesforce
129,MapReduce
130,NoSQL
131,Stream Processing
132,KeyValue Database
133,Spark
134,informat
135,automated
136,network
137,develop
138,automation
139,mobile
140,application
141,large tech
142,automat
143,ecommerce
144,mainframe
145,saas
146,framework
147,.net
148,etl
149,sql
150,java
151,computer
152,test
153,agile
154,kanban
155,technology solutions
156,Application Architect
157,Android
158,DevOp
159,Release Engineer
160,micro-service
161,Web service
162,Linux
163,unix
164,investment
165,equity
166,service
167,capital
168,financial service
169,investment management
170,bank
171,regulat
172,finance
173,asset manager
174,financial agreement
175,liability
176,mortgage
177,MS Office
178,Excel
179,PowerPoint
180,customer
181,administrat
182,relationship
183,Client
184,advice
185,hedge
186,payment schemes
187,Business Plan
188,Cash Collateral
189,Collateral
190,Interest
191,Liquidity
192,Tangible
193,Trend Analysis
194,depreciation
195,growth stock
196,management
