Blockchain ,Cyber Security ,Artificial Intelligence & Machine Learning,Risk Management ,Big Data ,Information Technology ,Finacial Operations ,Business/Accounting 
blockchain,platform,digital,fintech,model,digital,fintech,investment
algorithm,information,information,information,statistic,informat,information,equity
bitcoin,risk,solution,risk,data source,network,investment,service
digital identity,innovat,innovat,solution,api,develop,equity,strategy
identity system,technolog,model,compliance,large-scale,technolog,service,statistic
smart contract,strategy,algorithm,strategy,centralized,algorithm,compliance,capital
payment solution,security,cloud,audit,cloud,cloud,strategy,audit
digital banking,digital identity,statistic,asset,visualization,mobile,capital,asset
identity transaction,identity system,artificial Intelligence,infrastructure,programming,application,audit,financial service
global payment,identity transaction,applications,transaction,data collection,automat,asset,transaction
ledger technology,regulation,data source,digitization,decentralised,api,financial service,regulation
digitally sign,digitally sign,automate,ledger,Batch Processing,ecommerce,investment management,ledger
crypto,regulatory,machine learning,credit,Business Intelligence,amazon web service,bank,finance
micropayment,encryption,quantopian,claims processing,Cassandra,mainframe,transaction,credit
internet of things,delineation,robo advisor,rehypothecation,Cluster computing,saas,regulat,claims processing
contract technology,fraud,cognitive,adviser,Dark Data,.net,finance,financial agreement
Public Key,micropayments,optimisation,payment scheme,Data Lake,etl,credit,mortgage
Scalability,internet of things,amazon web service,Agent ,Data Mining,sql,claims processing,advice
Wallet,hacking,machine based,Hard market,Exploratory Analysis,java,asset manager,hedge
block chain,cyberattack,insurtech,Insurance policy,Feature Engineering,computer,financial agreement,rehypothecation
DLT,cyber insecurity,predictive,Reinsurer,Hadoop,agile,liability,adviser
hashing,protocol,prediction,Risk assessment,Hive,programming,mortgage,payment schemes
golang,sandbox,data collection,Risk retention,Kafka,kanban,protocol,Business Plan
electronic payment,credentials,supervised learning,fraud,Salesforce,technology,MS Office,Cash Collateral
authentication protocol,hack,natural language,verification,MapReduce,decentralised,Excel,Collateral
quorum ,programming,Regression,Security Service,NoSQL,Application Architect,PowerPoint,Interest
pki,security technolog,Clustering,investigat,Stream Processing,Android,customer,Liquidity
,network security,Random Forest,,KeyValue Database,DevOp,administrat,Tangible
,cyber,Time Series,,Spark,innovat,relationship,Trend Analysis
,,data analy,,Datameer,Release Engineer,Client,depreciation
,,Linear Regression,,Tableau,micro-service,Marketing,growth stock
,,python,,PySpark,Web service,communication,MS Office
,,spend analytics,,Drill,Linux,operation,PowerPoint
,,deep learn,,Mapr,unix,clerical,Excel
,,sas,,DataStax,spring,Transfer calls,management
,,spss,,ELK,Business Analyst,business,customer
,,Tensorflow,,date warehous,QA Tester,partner,administrat
,,ML technique,,,Scrum,Lockbox,relationship
,,docker,,,testing,High school,Client
,,kubernetes,,,Application Developer,treasury,Marketing
,,IaaS,,,DB2,Finance Analyst,communication
,,data driven,,,oracle,financial-analyst,operation
,,ML models,,,QA team,,clerical
,,nlp,,,dev-ops,,Transfer calls
,,Decision Tree,,,Splunk,,business
,,Bayesian Inference,,,Dynatrace,,partner
,,Linear model,,,Shell scripting,,Lockbox
,,SVM,,,coding,,High school
,,PCA,,,,,Treasury
,,Linear Algebra,,,,,Accounting
,,,,,,,Business Support
,,,,,,,Tax
